Datetime,Water Level (m)
2023-05-19 00:00:00,0.0831572
2023-05-19 01:00:00,0.55840206
2023-05-19 02:00:00,0.90847147
2023-05-19 03:00:00,1.0676196
2023-05-19 04:00:00,0.97420573
2023-05-19 05:00:00,0.6566124
2023-05-19 06:00:00,0.1766159
2023-05-19 07:00:00,-0.3019812
2023-05-19 08:00:00,-0.68183506
2023-05-19 09:00:00,-0.90017915
2023-05-19 10:00:00,-0.84562546
2023-05-19 11:00:00,-0.5405665
2023-05-19 12:00:00,-0.15761867
2023-05-19 13:00:00,0.2630314
2023-05-19 14:00:00,0.5583642
2023-05-19 15:00:00,0.71586305
2023-05-19 16:00:00,0.6287533
2023-05-19 17:00:00,0.3851279
2023-05-19 18:00:00,-0.006586558
2023-05-19 19:00:00,-0.43650973
2023-05-19 20:00:00,-0.7832703
2023-05-19 21:00:00,-0.98606366
2023-05-19 22:00:00,-0.9560828
2023-05-19 23:00:00,-0.6375978
2023-05-20 00:00:00,-0.1909026
2023-05-20 01:00:00,0.32318112
2023-05-20 02:00:00,0.7540338
2023-05-20 03:00:00,1.0328149
2023-05-20 04:00:00,1.0666041
2023-05-20 05:00:00,0.8596729
2023-05-20 06:00:00,0.47130504
2023-05-20 07:00:00,0.008510421
2023-05-20 08:00:00,-0.43472052
2023-05-20 09:00:00,-0.7579977
2023-05-20 10:00:00,-0.8856992
2023-05-20 11:00:00,-0.71838486
2023-05-20 12:00:00,-0.4050593
2023-05-20 13:00:00,-0.032546755
2023-05-20 14:00:00,0.33566386
2023-05-20 15:00:00,0.59019
2023-05-20 16:00:00,0.6658196
2023-05-20 17:00:00,0.51393044
2023-05-20 18:00:00,0.21616013
2023-05-20 19:00:00,-0.19575165
2023-05-20 20:00:00,-0.5963451
2023-05-20 21:00:00,-0.874901
2023-05-20 22:00:00,-0.97508925
2023-05-20 23:00:00,-0.808313
2023-05-21 00:00:00,-0.4277342
2023-05-21 01:00:00,0.040147014
2023-05-21 02:00:00,0.50217515
2023-05-21 03:00:00,0.8539144
2023-05-21 04:00:00,1.0378084
2023-05-21 05:00:00,0.9620928
2023-05-21 06:00:00,0.69236493
2023-05-21 07:00:00,0.28062394
2023-05-21 08:00:00,-0.16875088
2023-05-21 09:00:00,-0.5627346
2023-05-21 10:00:00,-0.81769586
2023-05-21 11:00:00,-0.8439702
2023-05-21 12:00:00,-0.59896845
2023-05-21 13:00:00,-0.26799682
2023-05-21 14:00:00,0.12437318
2023-05-21 15:00:00,0.4474829
2023-05-21 16:00:00,0.6056865
2023-05-21 17:00:00,0.5576148
2023-05-21 18:00:00,0.35209042
2023-05-21 19:00:00,0.019000808
2023-05-21 20:00:00,-0.34759483
2023-05-21 21:00:00,-0.660695
2023-05-21 22:00:00,-0.8485447
2023-05-21 23:00:00,-0.8504627
2023-05-22 00:00:00,-0.59251916
2023-05-22 01:00:00,-0.20227617
2023-05-22 02:00:00,0.255273
2023-05-22 03:00:00,0.65113074
2023-05-22 04:00:00,0.9254299
2023-05-22 05:00:00,0.9806172
